event_id,gross,cost_1x,net,round_trips
FOMC_2024_07_31,-0.00017924956244421295,0.0003467556123422172,-0.00017924956244421295,12
FOMC_2024_09_18,-0.0008442520733321765,0.00033353455107038775,-0.0008442520733321765,12
FOMC_2024_11_07,-0.002020354148117788,0.0003316025857366006,-0.002020354148117788,10
FOMC_2024_12_18,0.007208844239972098,0.0003084589959337002,0.007208844239972098,12
FOMC_2025_01_29,-0.0018085787363552842,0.00032141677184488313,-0.0018085787363552842,12
FOMC_2025_03_19,0.001329330261881247,0.0003473390059670057,0.001329330261881247,12
FOMC_2025_05_07,-0.0007667230068512307,0.0003313415356045091,-0.0007667230068512307,12
FOMC_2025_06_18,9.123634479357191e-05,0.0003197392385552401,9.123634479357191e-05,12
FOMC_2025_07_30,0.0006250707719146139,0.0003056589980081544,0.0006250707719146139,12
FOMC_2025_09_17,-0.0022823144897197033,0.0003177448588432671,-0.0022823144897197033,12
FOMC_2025_10_29,0.003911586164042559,0.00034316966347274457,0.003911586164042559,12
FOMC_2025_12_10,0.0024167164408465413,0.0003319034159350468,0.0024167164408465413,12
